k,cost_multiplier,method,pairs,strict_correct_rate,delta_strict_correct_vs_sample0,improved_count,damaged_count,same_count,answer_changed_vs_sample0_rate,token_mean_entropy_mean,token_mean_entropy_std,token_count_mean,selected_cluster_size_mean,oracle_available_rate,any_correct_in_prefix_rate
1,1,best_logprob,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.0,0.0,0.41935483870967744
1,1,cautious_majority_logprob,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.0,0.0,0.41935483870967744
1,1,low_token_entropy,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.0,0.0,0.41935483870967744
1,1,majority_logprob,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.0,0.0,0.41935483870967744
1,1,majority_low_entropy,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.0,0.0,0.41935483870967744
1,1,oracle_strict,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.0,0.0,0.41935483870967744
1,1,sample0,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.0,0.0,0.41935483870967744
2,2,best_logprob,93,0.43010752688172044,0.010752688172043012,2,1,90,0.1935483870967742,0.21114464700462493,0.16583852845120114,21.903225806451612,1.6666666666666667,0.03225806451612903,0.45161290322580644
2,2,cautious_majority_logprob,93,0.41935483870967744,0.0,0,0,93,0.053763440860215055,0.2290577097097355,0.19430991521189325,22.096774193548388,1.6666666666666667,0.03225806451612903,0.45161290322580644
2,2,low_token_entropy,93,0.41935483870967744,0.0,1,1,91,0.23655913978494625,0.202372220678381,0.15177372651949875,21.580645161290324,1.6666666666666667,0.03225806451612903,0.45161290322580644
2,2,majority_logprob,93,0.43010752688172044,0.010752688172043012,2,1,90,0.1935483870967742,0.21114464700462493,0.16583852845120114,21.903225806451612,1.6666666666666667,0.03225806451612903,0.45161290322580644
2,2,majority_low_entropy,93,0.43010752688172044,0.010752688172043012,2,1,90,0.21505376344086022,0.2084407140568834,0.1596313379438912,21.591397849462364,1.6666666666666667,0.03225806451612903,0.45161290322580644
2,2,oracle_strict,93,0.45161290322580644,0.03225806451612903,3,0,90,0.1935483870967742,0.21189688412439084,0.165846651731306,21.838709677419356,1.6666666666666667,0.03225806451612903,0.45161290322580644
2,2,sample0,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,1.6666666666666667,0.03225806451612903,0.45161290322580644
3,3,best_logprob,93,0.45161290322580644,0.03225806451612903,4,1,88,0.2903225806451613,0.20459847783374516,0.1514793793984186,21.268817204301076,2.3978494623655915,0.053763440860215055,0.4731182795698925
3,3,cautious_majority_logprob,93,0.41935483870967744,0.0,1,1,91,0.15053763440860216,0.23270199700724198,0.2022389238259365,22.182795698924732,2.4516129032258065,0.053763440860215055,0.4731182795698925
3,3,low_token_entropy,93,0.43010752688172044,0.010752688172043012,2,1,90,0.2903225806451613,0.19178022347542778,0.13773194862638685,21.344086021505376,2.3870967741935485,0.053763440860215055,0.4731182795698925
3,3,majority_logprob,93,0.44086021505376344,0.021505376344086023,3,1,89,0.2903225806451613,0.21211798526729375,0.17256628970459179,21.344086021505376,2.4516129032258065,0.053763440860215055,0.4731182795698925
3,3,majority_low_entropy,93,0.44086021505376344,0.021505376344086023,3,1,89,0.27956989247311825,0.2087185517024915,0.1695004323522997,21.43010752688172,2.4516129032258065,0.053763440860215055,0.4731182795698925
3,3,oracle_strict,93,0.4731182795698925,0.053763440860215055,5,0,88,0.2903225806451613,0.20535071495351104,0.15152112838419493,21.204301075268816,2.3870967741935485,0.053763440860215055,0.4731182795698925
3,3,sample0,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,2.4086021505376345,0.053763440860215055,0.4731182795698925
4,4,best_logprob,93,0.46236559139784944,0.043010752688172046,5,1,87,0.3118279569892473,0.2035530776650932,0.15368946683441928,20.795698924731184,3.172043010752688,0.06451612903225806,0.4838709677419355
4,4,cautious_majority_logprob,93,0.43010752688172044,0.010752688172043012,2,1,90,0.23655913978494625,0.21527568513748715,0.17704944985577056,22.236559139784948,3.2688172043010755,0.06451612903225806,0.4838709677419355
4,4,low_token_entropy,93,0.43010752688172044,0.010752688172043012,2,1,90,0.3225806451612903,0.18509777530056074,0.13221077125648556,20.698924731182796,3.118279569892473,0.06451612903225806,0.4838709677419355
4,4,majority_logprob,93,0.44086021505376344,0.021505376344086023,3,1,89,0.3225806451612903,0.2090520008816654,0.1632151522834862,21.548387096774192,3.2688172043010755,0.06451612903225806,0.4838709677419355
4,4,majority_low_entropy,93,0.44086021505376344,0.021505376344086023,3,1,89,0.3118279569892473,0.20501238196259622,0.1588560050869048,21.35483870967742,3.2688172043010755,0.06451612903225806,0.4838709677419355
4,4,oracle_strict,93,0.4838709677419355,0.06451612903225806,6,0,87,0.3118279569892473,0.20430531478485908,0.1537357865064943,20.731182795698924,3.150537634408602,0.06451612903225806,0.4838709677419355
4,4,sample0,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,3.118279569892473,0.06451612903225806,0.4838709677419355
8,8,best_logprob,93,0.4946236559139785,0.07526881720430108,8,1,84,0.34408602150537637,0.1919324683504421,0.13699999634744384,20.978494623655912,6.225806451612903,0.12903225806451613,0.5483870967741935
8,8,cautious_majority_logprob,93,0.44086021505376344,0.021505376344086023,3,1,89,0.3010752688172043,0.19895271535372286,0.1487362225452194,22.043010752688172,6.376344086021505,0.12903225806451613,0.5483870967741935
8,8,low_token_entropy,93,0.45161290322580644,0.03225806451612903,4,1,88,0.3870967741935484,0.17182296176537004,0.11651851321005507,20.516129032258064,6.075268817204301,0.12903225806451613,0.5483870967741935
8,8,majority_logprob,93,0.4731182795698925,0.053763440860215055,6,1,86,0.3548387096774194,0.19252319078092675,0.13968921651674546,21.623655913978496,6.376344086021505,0.12903225806451613,0.5483870967741935
8,8,majority_low_entropy,93,0.4731182795698925,0.053763440860215055,6,1,86,0.3548387096774194,0.18453265945388164,0.133850645477389,21.365591397849464,6.376344086021505,0.12903225806451613,0.5483870967741935
8,8,oracle_strict,93,0.5483870967741935,0.12903225806451613,12,0,81,0.3548387096774194,0.19196903943673668,0.13508165093658583,20.849462365591396,6.10752688172043,0.12903225806451613,0.5483870967741935
8,8,sample0,93,0.41935483870967744,0.0,0,0,93,0.0,0.2351697729146268,0.20156929232608745,22.225806451612904,5.946236559139785,0.12903225806451613,0.5483870967741935
