base,dataset,probe,layer,auroc,aurc,sel_acc@0.50,brier,ece
qwen7b,id,SEPs_ridge,27,0.7470241487681359,0.254312307360185,0.736,,
qwen7b,id,SEPs_logreg,24,0.7893129895295632,0.2201824696273554,0.79,0.2258938108993949,0.1943372009365372
qwen7b,id,DCP_mlp,20,0.7959648922831415,0.2142613112660022,0.788,0.2354546817376243,0.2174701527557609
qwen7b,id,ARD_ridge,24,0.7742098321147678,0.2359232493141887,0.78,0.1917100505224326,0.0560315230795276
qwen7b,id,ARD_mlp,20,0.7897689339043494,0.2278737319789816,0.778,0.1850138636769396,0.0623378945694467
llama3b,id,SEPs_ridge,27,0.7494585660549413,0.2628632566562299,0.74,,
llama3b,id,SEPs_logreg,27,0.8088290371431828,0.2143622589886861,0.788,0.2170087305241344,0.1949754684402067
llama3b,id,DCP_mlp,28,0.8008540815163407,0.2235481512593724,0.79,0.2292058464890375,0.2083378267149764
llama3b,id,ARD_ridge,27,0.8034146976925958,0.212873377247756,0.8,0.1808326380155421,0.0604813306004369
llama3b,id,ARD_mlp,28,0.8000195404732051,0.218773522141231,0.792,0.1802949703260586,0.050039460260996
qwen72b,id,SEPs_ridge,72,0.77902167364153,0.2398118515830273,0.778,,
qwen72b,id,SEPs_logreg,64,0.834394489586556,0.1991605980855784,0.816,0.1961407635413013,0.1747728729366421
qwen72b,id,DCP_mlp,64,0.8392388985686603,0.1927177907355424,0.818,0.1996374650467696,0.1824151394215393
qwen72b,id,ARD_ridge,72,0.8350702642849,0.1973789959326111,0.836,0.1640277789135764,0.0572885782153404
qwen72b,id,ARD_mlp,56,0.8423735161453159,0.1962901555577216,0.83,0.1591251735983073,0.0614322518509224
qwen7b,hotpotqa,SEPs_ridge,16,0.6837991858887382,0.5314786510836957,0.4440000057220459,,
qwen7b,hotpotqa,SEPs_logreg,16,0.7243600180913614,0.5183995745840624,0.492000013589859,0.2939903561918476,0.2896803525548173
qwen7b,hotpotqa,DCP_mlp,16,0.7302487562189055,0.5158054933487258,0.4760000109672546,0.2659919559955597,0.268664549256675
llama3b,hotpotqa,SEPs_ridge,16,0.6644335621051864,0.5432731491520948,0.4320000112056732,,
llama3b,hotpotqa,SEPs_logreg,16,0.6766670914419908,0.5376670053812465,0.4399999976158142,0.2689862311895239,0.2551102494881531
llama3b,hotpotqa,DCP_mlp,16,0.6570788807777029,0.5599540357333042,0.4359999895095825,0.3305177390575409,0.3136698612570763
qwen72b,hotpotqa,SEPs_ridge,56,0.5892363636363637,0.4870683879230492,0.5239999890327454,,
qwen72b,hotpotqa,SEPs_logreg,56,0.7909979797979798,0.3459169356387866,0.6639999747276306,0.237684129745682,0.2184359508200978
qwen72b,hotpotqa,DCP_mlp,64,0.7714666666666666,0.3546913897425471,0.6600000262260437,0.2582617998123169,0.2535462401211261
qwen7b,nq,SEPs_ridge,16,0.618956881533101,0.6007124396668109,0.4120000004768371,,
qwen7b,nq,SEPs_logreg,20,0.6614220383275261,0.5767758627295538,0.4320000112056732,0.3558454272941639,0.347221436300821
qwen7b,nq,DCP_mlp,20,0.6672927555168409,0.5688106754624831,0.4359999895095825,0.374392956495285,0.3689717008527368
llama3b,nq,SEPs_ridge,12,0.5378953107960741,0.5006146948342057,0.5,,
llama3b,nq,SEPs_logreg,12,0.6039835781640901,0.4562454426918003,0.5559999942779541,0.3658242798145045,0.3416234106952345
llama3b,nq,DCP_mlp,24,0.6126595676438513,0.4466912116189079,0.5600000023841858,0.3842104375362396,0.3773961331518367
qwen72b,nq,SEPs_ridge,48,0.5970139700116817,0.4375386301106064,0.5720000267028809,,
qwen72b,nq,SEPs_logreg,56,0.7009329343425453,0.3528753688929773,0.6520000100135803,0.3008902036868091,0.2885989284610001
qwen72b,nq,DCP_mlp,64,0.6537661423244947,0.3972599837163654,0.6119999885559082,0.3366663753986358,0.3240826338976621
