base,probe,id_auroc,hotpotqa_auroc,nq_auroc,drop_hotpotqa,drop_nq
llama3b,ARD_mlp,0.8000195404732051,,,,
llama3b,ARD_ridge,0.8034146976925958,,,,
llama3b,DCP_mlp,0.8008540815163407,0.6570788807777029,0.6126595676438513,-0.1437752007386378,-0.18819451387248942
llama3b,SEPs_logreg,0.8088290371431828,0.6766670914419908,0.6039835781640901,-0.132161945701192,-0.20484545897909268
llama3b,SEPs_ridge,0.7494585660549413,0.6644335621051864,0.5378953107960741,-0.08502500394975487,-0.2115632552588672
qwen72b,ARD_mlp,0.8423735161453159,,,,
qwen72b,ARD_ridge,0.8350702642849,,,,
qwen72b,DCP_mlp,0.8392388985686603,0.7714666666666666,0.6537661423244947,-0.06777223190199366,-0.1854727562441656
qwen72b,SEPs_logreg,0.834394489586556,0.7909979797979798,0.7009329343425453,-0.04339650978857623,-0.1334615552440107
qwen72b,SEPs_ridge,0.77902167364153,0.5892363636363637,0.5970139700116817,-0.1897853100051663,-0.1820077036298483
qwen7b,ARD_mlp,0.7897689339043494,,,,
qwen7b,ARD_ridge,0.7742098321147678,,,,
qwen7b,DCP_mlp,0.7959648922831415,0.7302487562189055,0.6672927555168409,-0.06571613606423599,-0.12867213676630063
qwen7b,SEPs_logreg,0.7893129895295632,0.7243600180913614,0.6614220383275261,-0.06495297143820178,-0.12789095120203708
qwen7b,SEPs_ridge,0.7470241487681359,0.6837991858887382,0.618956881533101,-0.06322496287939772,-0.12806726723503492
