bucket,n_questions,base_acc_within_bucket,probe,auroc
easy,259,0.9939671814671814,ARD_mlp,0.5572916666666667
easy,259,0.9939671814671814,ARD_ridge,0.5625000000000001
easy,259,0.9939671814671814,DCP_mlp,0.6458333333333333
easy,259,0.9939671814671814,SEPs_logreg,0.7395833333333334
easy,259,0.9939671814671814,SEPs_ridge,0.6171875000000001
hard_solvable,26,0.6802884615384616,ARD_mlp,0.3888888888888889
hard_solvable,26,0.6802884615384616,ARD_ridge,0.42361111111111116
hard_solvable,26,0.6802884615384616,DCP_mlp,0.5104166666666667
hard_solvable,26,0.6802884615384616,SEPs_logreg,0.47916666666666663
hard_solvable,26,0.6802884615384616,SEPs_ridge,0.5069444444444444
mixed,5,0.5,ARD_mlp,0.5
mixed,5,0.5,ARD_ridge,0.75
mixed,5,0.5,DCP_mlp,0.5
mixed,5,0.5,SEPs_logreg,1.0
mixed,5,0.5,SEPs_ridge,0.5
saturated_wrong,210,0.028273809523809524,ARD_mlp,0.4731896075179657
saturated_wrong,210,0.028273809523809524,ARD_ridge,0.550580431177446
saturated_wrong,210,0.028273809523809524,DCP_mlp,0.6710889994472083
saturated_wrong,210,0.028273809523809524,SEPs_logreg,0.6539524599226092
saturated_wrong,210,0.028273809523809524,SEPs_ridge,0.5240464344941957
