base,name,params_b,mode,n,mean_ms,median_ms,p25_ms,p75_ms,min_ms,max_ms
qwen7b,Qwen2.5-7B,7.6,prompt_only_forward,27,13.751457566050467,12.97348691150546,12.892248923890293,13.081493554636836,12.760679004713893,31.30225883796811
qwen7b,Qwen2.5-7B,7.6,k1_greedy,27,319.74180041881345,324.3465649429709,323.8151209661737,324.7919488931075,246.31420290097594,326.8271400593221
qwen7b,Qwen2.5-7B,7.6,k8_sampling,27,389.1755650423605,351.6237970907241,349.86177482642233,352.47655457351357,347.8346159681678,1379.844824085012
llama3b,Llama-3.2-3B,3.2,prompt_only_forward,27,13.05502397870576,12.213815934956074,12.125747045502067,12.753248447552323,11.928871041163802,23.449881933629513
llama3b,Llama-3.2-3B,3.2,k1_greedy,27,287.71677735710034,286.6287000942975,286.21255909092724,287.0526625774801,285.55377782322466,298.2667440082878
llama3b,Llama-3.2-3B,3.2,k8_sampling,27,313.08719022544443,312.40097689442337,312.1016905643046,313.00245597958565,311.6653880570084,317.7941569592804
qwen72b,Qwen2.5-72B,72.7,prompt_only_forward,27,57.205956593086874,57.029233081266284,56.82154942769557,57.35043250024319,56.5578299574554,59.3689139932394
qwen72b,Qwen2.5-72B,72.7,k1_greedy,27,1349.2691772472526,1346.9496718607843,1341.424495447427,1348.1157990172505,484.1047660447657,2369.7846210561693
qwen72b,Qwen2.5-72B,72.7,k8_sampling,27,1447.1064805380863,1445.2704060822725,1443.597664590925,1448.667386895977,1431.705696042627,1465.2585370931774
