base,layer,norm_depth,linear_sep_auroc,cka_to_next
qwen7b,4,0.14285714285714285,0.6498265783003045,0.8260149257996704
qwen7b,8,0.2857142857142857,0.6912523814951719,0.888959357177111
qwen7b,12,0.42857142857142855,0.7278093501164287,0.8370984391341114
qwen7b,16,0.5714285714285714,0.7427496702545147,0.7960228136718964
qwen7b,20,0.7142857142857143,0.7867890117405676,0.7069455909452835
qwen7b,24,0.8571428571428571,0.7892152871635375,0.7838330307251568
qwen7b,27,0.9642857142857143,0.7678754620507726,0.745792718603943
qwen7b,28,1.0,0.7505414339450588,
llama3b,4,0.14285714285714285,0.6138069726921886,0.7659217186461209
llama3b,8,0.2857142857142857,0.7484326912116721,0.7974471713575003
llama3b,12,0.42857142857142855,0.7080571884515804,0.713754549979399
llama3b,16,0.5714285714285714,0.7703912979759326,0.8644602372434151
llama3b,20,0.7142857142857143,0.7594649167087328,0.8982605906496501
llama3b,24,0.8571428571428571,0.7747471951279088,0.9543720924279239
llama3b,27,0.9642857142857143,0.8089267395092085,0.8787889604217244
llama3b,28,1.0,0.8008581524482584,
qwen72b,8,0.1,0.5967009167738678,0.8640332885499012
qwen72b,16,0.2,0.683533894579147,0.9010945129783059
qwen72b,24,0.3,0.7336063571672828,0.9174818480752535
qwen72b,32,0.4,0.7657911449088926,0.9570988325319763
qwen72b,40,0.5,0.762054029408412,0.9410544667384146
qwen72b,48,0.6,0.8127045643288662,0.8259816070249809
qwen72b,56,0.7,0.8243637133412581,0.850900027072832
qwen72b,64,0.8,0.8353552295191415,0.8945024066591327
qwen72b,72,0.9,0.8296070736513002,0.7586952452889014
qwen72b,80,1.0,0.8061503639413135,
