base,dataset,probe,layer,n,base_acc,auroc,auprc,aurc,auarc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,cov@risk<=0.05,cov@risk<=0.10,cov@risk<=0.20,brier,brier_reliability,brier_resolution,brier_uncertainty,ece
llama3b,id,DCP_mlp,28,500,0.568,0.7998255738132499,0.8284540494336825,0.2224212163409472,0.7755787836590529,0.872,0.784,0.6826666666666666,0.05,0.14,0.474,0.23315254167497748,0.047917986427375506,0.0570212071737786,0.245376,0.21033782671497642
llama3b,id,SEPs_logreg,27,500,0.568,0.807511737089202,0.844078179445028,0.21178229334672632,0.7862177066532736,0.904,0.788,0.6853333333333333,0.054,0.25,0.482,0.22044758853975233,0.0431068520691501,0.06504184340892118,0.245376,0.2009754684402067
llama3b,id,SEPs_ridge,27,500,0.568,0.7466418883672403,0.7779544953822055,0.257547781312778,0.740452218687222,0.8,0.736,0.6773333333333333,0.012,0.102,0.284,,,,,
llama3b,id,ARD_mlp,28,500,0.568,0.8014964788732396,0.8350433644399766,0.218023764722434,0.7799762352775659,0.912,0.796,0.6693333333333333,0.048,0.3,0.494,0.17925519588778288,0.003456601302929404,0.0692977530966809,0.245376,0.04973058675222452
llama3b,id,ARD_ridge,27,500,0.568,0.80320813771518,0.8500788922441962,0.2088218734910932,0.7891781265089067,0.928,0.796,0.68,0.126,0.292,0.484,0.18095960807289982,0.004138512500591352,0.06900184836996894,0.245376,0.06397825314792428
llama3b,hotpotqa,DCP_mlp,16,500,0.32600000500679016,0.6570788807777029,0.4594862294549161,0.5599540357333042,0.43804596426669573,0.4320000112056732,0.4359999895095825,0.3786666691303253,0.016,0.016,0.02,0.33051773638717236,0.12855694844594046,0.017188468771031765,0.21972399999999997,0.3136698612570763
llama3b,hotpotqa,SEPs_logreg,16,500,0.32600000500679016,0.6766670914419908,0.5122513689971732,0.5376670053812465,0.46033299461875354,0.4880000054836273,0.4399999976158142,0.3786666691303253,0.002,0.002,0.032,0.26898623118952397,0.07039813859630979,0.019817188775227132,0.21972399999999997,0.25511024948815314
llama3b,hotpotqa,SEPs_ridge,16,500,0.32600000500679016,0.6644335621051864,0.5064450817638726,0.5432731491520948,0.4547268508479052,0.4959999918937683,0.4320000112056732,0.36266666650772095,0.014,0.02,0.022,,,,,
llama3b,nq,DCP_mlp,24,500,0.47600001096725464,0.6126595676438513,0.5542216731552738,0.4466912116189079,0.5513087883810921,0.5680000185966492,0.5600000023841858,0.527999997138977,0.008,0.008,0.01,0.38421047136666936,0.15090996366135595,0.01636825769703116,0.249424,0.37739613315183673
llama3b,nq,SEPs_logreg,12,500,0.47600001096725464,0.6039835781640901,0.5533213155933654,0.4562454426918003,0.5417545573081997,0.6000000238418579,0.5559999942779541,0.5173333287239075,0.0,0.0,0.0,0.3658242798145045,0.12636844260426877,0.010793247808957249,0.249424,0.34162341069523455
llama3b,nq,SEPs_ridge,12,500,0.47600001096725464,0.5378953107960741,0.5042894683204542,0.5006146948342057,0.49738530516579427,0.5120000243186951,0.5,0.4933333396911621,0.002,0.002,0.01,,,,,
