probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
SEPs_ridge,72,cv_5fold,1000,0.566,0.77902167364153,0.2398118515830273,0.848,0.778,0.68,,
SEPs_ridge,72,cross_seed,1000,0.566,0.8015787073976975,0.2312168245752109,0.824,0.794,0.6986666666666667,,
SEPs_logreg,64,cv_5fold,1000,0.566,0.834394489586556,0.1991605980855784,0.904,0.816,0.6933333333333334,0.19614076354130133,0.17477287293664212
SEPs_logreg,64,cross_seed,1000,0.566,0.9623316669652017,0.13212007559920932,0.976,0.96,0.7426666666666667,0.055797269957724126,0.054966870590055936
DCP_mlp,64,cv_5fold,1000,0.566,0.8392388985686603,0.19271779073554246,0.948,0.818,0.6973333333333334,0.19963746504676966,0.1824151394215393
DCP_mlp,32,cross_seed,1000,0.566,0.957953379687678,0.13579711937796488,0.972,0.954,0.7426666666666667,0.05599614150674229,0.05596881905309421
ARD_ridge,72,cv_5fold,1000,0.566,0.8350702642849,0.19737899593261116,0.9,0.836,0.6893333333333334,0.16402777891357642,0.05728857821534042
ARD_ridge,40,cross_seed,1000,0.566,0.9244557164025988,0.15330426798071256,0.976,0.954,0.712,0.08877252019689673,0.04604039516968666
ARD_mlp,56,cv_5fold,1000,0.566,0.8423735161453159,0.1962901555577216,0.896,0.83,0.7053333333333334,0.1591251735983073,0.06143225185092249
ARD_mlp,72,cross_seed,1000,0.566,0.9269267720766639,0.14960302847758375,0.98,0.958,0.7133333333333334,0.08763389518493557,0.04774559972329194
